"MacroTrends Data Download"
"AAPL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1980-12-12,0.1013,0.1017,0.1013,0.1013,469033600
1980-12-15,0.0965,0.0965,0.0960,0.0960,175884800
1980-12-16,0.0894,0.0894,0.0890,0.0890,105728000
1980-12-17,0.0912,0.0916,0.0912,0.0912,86441600
1980-12-18,0.0939,0.0943,0.0939,0.0939,73449600
1980-12-19,0.0996,0.1000,0.0996,0.0996,48630400
1980-12-22,0.1044,0.1048,0.1044,0.1044,37363200
1980-12-23,0.1088,0.1093,0.1088,0.1088,46950400
1980-12-24,0.1145,0.1150,0.1145,0.1145,48003200
1980-12-26,0.1251,0.1255,0.1251,0.1251,55574400
1980-12-29,0.1269,0.1273,0.1269,0.1269,93161600
1980-12-30,0.1242,0.1242,0.1238,0.1238,68880000
1980-12-31,0.1207,0.1207,0.1203,0.1203,35750400
1981-01-02,0.1216,0.1225,0.1216,0.1216,21660800
1981-01-05,0.1194,0.1194,0.1189,0.1189,35728000
1981-01-06,0.1141,0.1141,0.1137,0.1137,45158400
1981-01-07,0.1093,0.1093,0.1088,0.1088,55686400
1981-01-08,0.1070,0.1070,0.1066,0.1066,39827200
1981-01-09,0.1124,0.1128,0.1124,0.1124,21504000
1981-01-12,0.1124,0.1124,0.1114,0.1114,23699200
1981-01-13,0.1079,0.1079,0.1075,0.1075,23049600
1981-01-14,0.1079,0.1084,0.1079,0.1079,14291200
1981-01-15,0.1101,0.1110,0.1101,0.1101,14067200
1981-01-16,0.1097,0.1097,0.1093,0.1093,13395200
1981-01-19,0.1158,0.1163,0.1158,0.1158,41574400
1981-01-20,0.1128,0.1128,0.1124,0.1124,30083200
1981-01-21,0.1145,0.1154,0.1145,0.1145,15904000
1981-01-22,0.1158,0.1168,0.1158,0.1158,35548800
1981-01-23,0.1158,0.1163,0.1154,0.1154,11222400
1981-01-26,0.1141,0.1141,0.1137,0.1137,24640000
1981-01-27,0.1137,0.1137,0.1128,0.1128,23699200
1981-01-28,0.1097,0.1097,0.1093,0.1093,28156800
1981-01-29,0.1057,0.1057,0.1053,0.1053,43904000
1981-01-30,0.1004,0.1004,0.0996,0.0996,46188800
1981-02-02,0.0943,0.0943,0.0939,0.0939,23766400
1981-02-03,0.0973,0.0978,0.0973,0.0973,19152000
1981-02-04,0.1009,0.1013,0.1009,0.1009,27865600
1981-02-05,0.1009,0.1017,0.1009,0.1009,7929600
1981-02-06,0.1013,0.1017,0.1013,0.1013,13865600
1981-02-09,0.0969,0.0969,0.0960,0.0960,16755200
1981-02-10,0.0960,0.0965,0.0960,0.0960,18345600
1981-02-11,0.0934,0.0934,0.0929,0.0929,13843200
1981-02-12,0.0925,0.0925,0.0921,0.0921,14560000
1981-02-13,0.0908,0.0908,0.0899,0.0899,11155200
1981-02-17,0.0921,0.0925,0.0921,0.0921,12275200
1981-02-18,0.0960,0.0969,0.0960,0.0960,19241600
1981-02-19,0.0908,0.0908,0.0903,0.0903,22310400
1981-02-20,0.0859,0.0859,0.0855,0.0855,24371200
1981-02-23,0.0868,0.0872,0.0868,0.0868,14112000
1981-02-24,0.0846,0.0846,0.0837,0.0837,16979200
1981-02-25,0.0890,0.0894,0.0890,0.0890,19488000
1981-02-26,0.0903,0.0908,0.0903,0.0903,10841600
1981-02-27,0.0934,0.0943,0.0934,0.0934,14761600
