date,open,high,low,close,volume
12/12/1980,0.1013,0.1017,0.1013,0.1013,469033600
12/15/1980,0.0965,0.0965,0.096,0.096,175884800
12/16/1980,0.0894,0.0894,0.089,0.089,105728000
12/17/1980,0.0912,0.0916,0.0912,0.0912,86441600
12/18/1980,0.0939,0.0943,0.0939,0.0939,73449600
12/19/1980,0.0996,0.1,0.0996,0.0996,48630400
12/22/1980,0.1044,0.1048,0.1044,0.1044,37363200
12/23/1980,0.1088,0.1093,0.1088,0.1088,46950400
12/24/1980,0.1145,0.115,0.1145,0.1145,48003200
12/26/1980,0.1251,0.1255,0.1251,0.1251,55574400
12/29/1980,0.1269,0.1273,0.1269,0.1269,93161600
12/30/1980,0.1242,0.1242,0.1238,0.1238,68880000
12/31/1980,0.1207,0.1207,0.1203,0.1203,35750400
1/2/1981,0.1216,0.1225,0.1216,0.1216,21660800
1/5/1981,0.1194,0.1194,0.1189,0.1189,35728000
1/6/1981,0.1141,0.1141,0.1137,0.1137,45158400
1/7/1981,0.1093,0.1093,0.1088,0.1088,55686400
1/8/1981,0.107,0.107,0.1066,0.1066,39827200
1/9/1981,0.1124,0.1128,0.1124,0.1124,21504000
1/12/1981,0.1124,0.1124,0.1114,0.1114,23699200
1/13/1981,0.1079,0.1079,0.1075,0.1075,23049600
1/14/1981,0.1079,0.1084,0.1079,0.1079,14291200
1/15/1981,0.1101,0.111,0.1101,0.1101,14067200
1/16/1981,0.1097,0.1097,0.1093,0.1093,13395200
1/19/1981,0.1158,0.1163,0.1158,0.1158,41574400
1/20/1981,0.1128,0.1128,0.1124,0.1124,30083200
1/21/1981,0.1145,0.1154,0.1145,0.1145,15904000
1/22/1981,0.1158,0.1168,0.1158,0.1158,35548800
1/23/1981,0.1158,0.1163,0.1154,0.1154,11222400
1/26/1981,0.1141,0.1141,0.1137,0.1137,24640000
1/27/1981,0.1137,0.1137,0.1128,0.1128,23699200
1/28/1981,0.1097,0.1097,0.1093,0.1093,28156800
1/29/1981,0.1057,0.1057,0.1053,0.1053,43904000
1/30/1981,0.1004,0.1004,0.0996,0.0996,46188800
2/2/1981,0.0943,0.0943,0.0939,0.0939,23766400
2/3/1981,0.0973,0.0978,0.0973,0.0973,19152000
2/4/1981,0.1009,0.1013,0.1009,0.1009,27865600
2/5/1981,0.1009,0.1017,0.1009,0.1009,7929600
2/6/1981,0.1013,0.1017,0.1013,0.1013,13865600
2/9/1981,0.0969,0.0969,0.096,0.096,16755200
2/10/1981,0.096,0.0965,0.096,0.096,18345600
2/11/1981,0.0934,0.0934,0.0929,0.0929,13843200
2/12/1981,0.0925,0.0925,0.0921,0.0921,14560000
2/13/1981,0.0908,0.0908,0.0899,0.0899,11155200
2/17/1981,0.0921,0.0925,0.0921,0.0921,12275200
2/18/1981,0.096,0.0969,0.096,0.096,19241600
2/19/1981,0.0908,0.0908,0.0903,0.0903,22310400
2/20/1981,0.0859,0.0859,0.0855,0.0855,24371200
2/23/1981,0.0868,0.0872,0.0868,0.0868,14112000
2/24/1981,0.0846,0.0846,0.0837,0.0837,16979200
2/25/1981,0.089,0.0894,0.089,0.089,19488000
2/26/1981,0.0903,0.0908,0.0903,0.0903,10841600
2/27/1981,0.0934,0.0943,0.0934,0.0934,14761600
3/2/1981,0.0939,0.0943,0.0939,0.0939,11760000
3/3/1981,0.0929,0.0929,0.0925,0.0925,16172800
3/4/1981,0.0921,0.0921,0.0916,0.0916,13708800
3/5/1981,0.0916,0.0916,0.0912,0.0912,5376000
3/6/1981,0.0912,0.0912,0.0903,0.0903,11603200
3/9/1981,0.0837,0.0837,0.0833,0.0833,15321600
3/10/1981,0.0798,0.0798,0.0793,0.0793,28380800
3/11/1981,0.0771,0.0771,0.0762,0.0762,29859200
3/12/1981,0.0793,0.0798,0.0793,0.0793,59248000
3/13/1981,0.0788,0.0788,0.0784,0.0784,231302400
3/16/1981,0.0815,0.0824,0.0815,0.0815,37228800
3/17/1981,0.0855,0.0863,0.0855,0.0855,43747200
3/18/1981,0.0908,0.0916,0.0908,0.0908,36937600
3/19/1981,0.0903,0.0903,0.0899,0.0899,37811200
3/20/1981,0.0908,0.0916,0.0908,0.0908,14604800
3/23/1981,0.0943,0.0952,0.0943,0.0943,22019200
3/24/1981,0.0943,0.0943,0.0939,0.0939,28156800
3/25/1981,0.0929,0.0929,0.0921,0.0921,7056000
3/26/1981,0.0908,0.0908,0.0903,0.0903,12275200
3/27/1981,0.0877,0.0877,0.0872,0.0872,12252800
3/30/1981,0.0872,0.0881,0.0872,0.0872,9900800
3/31/1981,0.0872,0.0872,0.0863,0.0863,15993600
4/1/1981,0.0859,0.0859,0.0855,0.0855,34070400
4/2/1981,0.0929,0.0934,0.0929,0.0929,31404800
4/3/1981,0.0934,0.0939,0.0934,0.0934,16486400
4/6/1981,0.0921,0.0921,0.0916,0.0916,22803200
4/7/1981,0.0912,0.0912,0.0908,0.0908,10684800
4/8/1981,0.0952,0.096,0.0952,0.0952,21952000
4/9/1981,0.0969,0.0973,0.0969,0.0969,12499200
4/10/1981,0.0983,0.0987,0.0983,0.0983,33465600
4/13/1981,0.0983,0.0987,0.0983,0.0983,16060800
4/14/1981,0.0983,0.0987,0.0983,0.0983,6652800
4/15/1981,0.0939,0.0939,0.0934,0.0934,34048000
4/16/1981,0.0885,0.0885,0.0881,0.0881,23878400
4/20/1981,0.0908,0.0912,0.0908,0.0908,35347200
4/21/1981,0.0969,0.0973,0.0969,0.0969,28537600
4/22/1981,0.1004,0.1009,0.1004,0.1004,18995200
4/23/1981,0.1031,0.1035,0.1031,0.1031,58016000
4/24/1981,0.1031,0.1031,0.1022,0.1022,35056000
4/27/1981,0.1017,0.1017,0.1013,0.1013,38528000
4/28/1981,0.1,0.1,0.0996,0.0996,32188800
4/29/1981,0.0987,0.0987,0.0983,0.0983,13641600
4/30/1981,0.1,0.1009,0.1,0.1,12611200
5/1/1981,0.1,0.1009,0.1,0.1,16553600
5/4/1981,0.1,0.1,0.0996,0.0996,14448000
5/5/1981,0.0996,0.0996,0.0991,0.0991,17539200
5/6/1981,0.0969,0.0969,0.0965,0.0965,18950400
5/7/1981,0.0978,0.0983,0.0978,0.0978,9363200
5/8/1981,0.0987,0.0991,0.0987,0.0987,7907200
5/11/1981,0.0969,0.0969,0.0965,0.0965,11939200
5/12/1981,0.0965,0.0978,0.0965,0.0965,4256000
5/13/1981,0.0965,0.0973,0.096,0.096,4905600
5/14/1981,0.0956,0.0956,0.0947,0.0947,4928000
5/15/1981,0.0969,0.0983,0.0969,0.0969,4905600
5/18/1981,0.0987,0.0996,0.0987,0.0987,4166400
5/19/1981,0.0973,0.0973,0.0969,0.0969,25424000
