2020-11-09 21:01:30,862 INFO    MainThread:10564 [internal.py:wandb_internal():63] W&B internal server running at pid: 10564
2020-11-09 21:01:30,864 INFO    WriterThread:10564 [datastore.py:open_for_write():76] open: c:\Users\kshan\Desktop\Web dev projects\MERN tutorial\Simple-To-Do\wandb\offline-run-20201109_210125-j6pah2px\run-j6pah2px.wandb
2020-11-09 21:01:30,865 DEBUG   HandlerThread:10564 [handler.py:handle_request():55] handle_request: run_start
2020-11-09 21:01:31,255 DEBUG   HandlerThread:10564 [util.py:is_cygwin_git():315] Failed checking if running in CYGWIN due to: FileNotFoundError(2, 'The system cannot find the file specified', None, 2, None)
2020-11-09 21:01:31,280 DEBUG   HandlerThread:10564 [cmd.py:execute():718] Popen(['git', 'cat-file', '--batch-check'], cwd=c:\Users\kshan\Desktop\Web dev projects\MERN tutorial\Simple-To-Do, universal_newlines=False, shell=None, istream=<valid stream>)
2020-11-09 21:01:31,339 DEBUG   HandlerThread:10564 [cmd.py:execute():718] Popen(['git', 'rev-parse', '--show-toplevel'], cwd=c:\Users\kshan\Desktop\Web dev projects\MERN tutorial\Simple-To-Do, universal_newlines=False, shell=None, istream=None)
2020-11-09 21:04:56,706 DEBUG   SenderThread:10564 [sender.py:send():90] send: exit
2020-11-09 21:04:56,707 INFO    SenderThread:10564 [sender.py:send_exit():168] handling exit code: 0
2020-11-09 21:04:56,707 DEBUG   HandlerThread:10564 [handler.py:handle_request():55] handle_request: poll_exit
2020-11-09 21:04:56,707 INFO    SenderThread:10564 [sender.py:send_exit():176] send defer
2020-11-09 21:04:56,707 DEBUG   SenderThread:10564 [sender.py:send():90] send: request
2020-11-09 21:04:56,708 DEBUG   SenderThread:10564 [sender.py:send_request():99] send_request: poll_exit
2020-11-09 21:04:56,708 DEBUG   HandlerThread:10564 [handler.py:handle_request():55] handle_request: defer
2020-11-09 21:04:56,708 INFO    HandlerThread:10564 [handler.py:handle_request_defer():69] handle defer: 0
2020-11-09 21:04:56,708 DEBUG   SenderThread:10564 [sender.py:send():90] send: request
2020-11-09 21:04:56,708 DEBUG   SenderThread:10564 [sender.py:send_request():99] send_request: defer
2020-11-09 21:04:56,708 INFO    SenderThread:10564 [sender.py:send_request_defer():185] handle sender defer: 0
2020-11-09 21:04:56,708 INFO    SenderThread:10564 [sender.py:send_request_defer():221] send defer: 1
2020-11-09 21:04:56,709 DEBUG   HandlerThread:10564 [handler.py:handle_request():55] handle_request: defer
2020-11-09 21:04:56,709 INFO    HandlerThread:10564 [handler.py:handle_request_defer():69] handle defer: 1
2020-11-09 21:04:56,795 DEBUG   SenderThread:10564 [sender.py:send():90] send: request
2020-11-09 21:04:56,795 DEBUG   SenderThread:10564 [sender.py:send_request():99] send_request: defer
2020-11-09 21:04:56,795 INFO    SenderThread:10564 [sender.py:send_request_defer():185] handle sender defer: 1
2020-11-09 21:04:56,795 INFO    SenderThread:10564 [sender.py:send_request_defer():221] send defer: 2
2020-11-09 21:04:56,797 DEBUG   HandlerThread:10564 [handler.py:handle_request():55] handle_request: defer
2020-11-09 21:04:56,797 INFO    HandlerThread:10564 [handler.py:handle_request_defer():69] handle defer: 2
2020-11-09 21:04:56,797 DEBUG   SenderThread:10564 [sender.py:send():90] send: request
2020-11-09 21:04:56,797 DEBUG   SenderThread:10564 [sender.py:send_request():99] send_request: defer
2020-11-09 21:04:56,797 INFO    SenderThread:10564 [sender.py:send_request_defer():185] handle sender defer: 2
2020-11-09 21:04:56,797 INFO    SenderThread:10564 [sender.py:send_request_defer():221] send defer: 3
2020-11-09 21:04:56,797 DEBUG   HandlerThread:10564 [handler.py:handle_request():55] handle_request: defer
2020-11-09 21:04:56,797 INFO    HandlerThread:10564 [handler.py:handle_request_defer():69] handle defer: 3
2020-11-09 21:04:56,798 DEBUG   SenderThread:10564 [sender.py:send():90] send: request
2020-11-09 21:04:56,798 DEBUG   SenderThread:10564 [sender.py:send_request():99] send_request: defer
2020-11-09 21:04:56,798 INFO    SenderThread:10564 [sender.py:send_request_defer():185] handle sender defer: 3
2020-11-09 21:04:56,798 INFO    SenderThread:10564 [sender.py:send_request_defer():221] send defer: 4
2020-11-09 21:04:56,798 DEBUG   HandlerThread:10564 [handler.py:handle_request():55] handle_request: defer
2020-11-09 21:04:56,798 INFO    HandlerThread:10564 [handler.py:handle_request_defer():69] handle defer: 4
2020-11-09 21:04:56,798 DEBUG   SenderThread:10564 [sender.py:send():90] send: request
2020-11-09 21:04:56,798 DEBUG   SenderThread:10564 [sender.py:send_request():99] send_request: defer
2020-11-09 21:04:56,799 INFO    SenderThread:10564 [sender.py:send_request_defer():185] handle sender defer: 4
2020-11-09 21:04:56,799 INFO    SenderThread:10564 [sender.py:send_request_defer():221] send defer: 5
2020-11-09 21:04:56,799 DEBUG   HandlerThread:10564 [handler.py:handle_request():55] handle_request: defer
2020-11-09 21:04:56,799 INFO    HandlerThread:10564 [handler.py:handle_request_defer():69] handle defer: 5
2020-11-09 21:04:56,799 DEBUG   SenderThread:10564 [sender.py:send():90] send: request
2020-11-09 21:04:56,800 DEBUG   SenderThread:10564 [sender.py:send_request():99] send_request: defer
2020-11-09 21:04:56,800 INFO    SenderThread:10564 [sender.py:send_request_defer():185] handle sender defer: 5
2020-11-09 21:04:56,800 INFO    SenderThread:10564 [sender.py:send_request_defer():221] send defer: 6
2020-11-09 21:04:56,800 DEBUG   HandlerThread:10564 [handler.py:handle_request():55] handle_request: defer
2020-11-09 21:04:56,800 INFO    HandlerThread:10564 [handler.py:handle_request_defer():69] handle defer: 6
